country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,change,change2
Malaysia,Johor,30,1911485,1593783,1543602,102272,43703,35359,13478,40586,44009,36499,39197,18469,46560,28245,57621,38805,24985,49796,31797,45064,44064,32737,30412,22595,21403,15783,0.3447,34.47
Malaysia,Kedah,30,951787,676030,640752,44640,3600,9893,4456,7110,7569,8194,6069,9888,8277,13062,7693,8921,7336,15644,13412,14906,16051,13979,11720,8725,7430,5634,0.1733,17.33
Malaysia,Kelantan,30,1513205,1344075,1257078,23028,10557,9120,5577,13804,12530,11407,25135,12748,33123,30616,22860,35190,16594,38714,24416,27174,20603,23473,26952,15748,18512,16884,0.2833,28.33
Malaysia,Kuala Lumpur,30,27198,4827,4100,863,36,119,48,169,82,77,57,49,76,78,34,53,2,55,31,43,103,62,29,11,15,8,0.0138,1.38
Malaysia,Labuan,30,9066,4323,4163,188,24,23,18,11,27,22,41,39,37,26,55,119,17,71,79,120,37,28,22,33,29,38,0.0803,8.03
Malaysia,Melaka,30,165403,112675,108610,12986,3593,2814,1272,1267,3810,1802,3366,2012,3297,518,3157,2548,1404,5024,3120,5324,4386,3933,3817,2812,2756,1695,0.3068,30.68
Malaysia,Negeri Sembilan,30,666738,559821,527970,41198,22432,24927,7334,8937,12717,7497,10171,8383,17249,5520,15888,24583,10915,18281,10459,16640,13601,10539,9672,6491,6086,5008,0.3482,34.82
Malaysia,Pahang,30,3585238,3295418,3199022,117174,47473,58056,26963,45058,61430,44941,43997,34053,55335,56967,57724,93639,42559,86752,62751,99966,71777,59871,56671,40948,43939,34214,0.309,30.9
Malaysia,Perak,30,2091110,1766056,1743683,67954,16245,20779,9509,14548,19635,12108,19921,16776,29618,27184,21466,25398,17762,33900,23935,32983,30468,22953,22414,15675,19238,13018,0.1901,19.01
Malaysia,Perlis,30,82349,27367,22511,4735,258,173,55,112,223,80,83,110,242,170,396,637,373,509,258,715,556,394,1151,704,217,190,0.0349,3.49
Malaysia,Pulau Pinang,30,105622,46677,40796,2737,133,437,195,417,515,598,335,338,718,945,580,672,355,827,492,726,641,457,463,450,481,280,0.0788,7.88
Malaysia,Putrajaya,30,6173,1583,1491,890,61,49,24,50,32,5,30,7,51,44,20,13,7,23,26,55,46,40,55,24,31,15,-0.0295,-2.95
Malaysia,Sabah,30,7372091,6684138,6667614,214875,62731,59490,32902,86514,72687,81146,62206,83970,91770,103840,68392,104438,65399,137274,106771,112763,88683,92683,90575,68260,66550,64183,0.2155,21.55
Malaysia,Sarawak,30,12379545,11643005,11270645,302061,100294,73917,73945,109132,121973,114173,175583,163495,306669,136601,191239,268503,128695,229051,156137,178750,164697,151383,118414,72370,72721,75323,0.2327,23.27
Malaysia,Selangor,30,782443,564558,526060,39705,11219,7333,3749,8332,8143,4763,9557,6366,14311,9737,3686,7759,3549,13558,5914,10238,9573,9036,8604,4700,7672,3866,0.1687,16.87
Malaysia,Trengganu,30,1288895,1106226,1073942,29638,10139,10066,4386,15756,10041,10589,9411,11269,15446,17054,12267,16893,13273,16299,14745,19783,18130,16415,14396,9177,10475,11949,0.2004,20.04
