country,subnational1,area_ha,year,carbon_gross_emissions
Malaysia,Johor,1911485,2001,14080994
Malaysia,Kedah,951787,2001,1257422
Malaysia,Kelantan,1513205,2001,4294011
Malaysia,Kuala Lumpur,27198,2001,16189
Malaysia,Labuan,9066,2001,11563
Malaysia,Melaka,165403,2001,816616
Malaysia,Negeri Sembilan,666738,2001,5649208
Malaysia,Pahang,3585238,2001,15513022
Malaysia,Perak,2091110,2001,3305594
Malaysia,Perlis,82349,2001,114229
Malaysia,Pulau Pinang,105622,2001,16438
Malaysia,Putrajaya,6173,2001,8546
Malaysia,Sabah,7372091,2001,30504940
Malaysia,Sarawak,12379545,2001,50220307
Malaysia,Selangor,782443,2001,4094673
Malaysia,Trengganu,1288895,2001,3323453
Malaysia,Johor,1911485,2002,13434658
Malaysia,Kedah,951787,2002,3540028
Malaysia,Kelantan,1513205,2002,3870165
Malaysia,Kuala Lumpur,27198,2002,55547
Malaysia,Labuan,9066,2002,10525
Malaysia,Melaka,165403,2002,796675
Malaysia,Negeri Sembilan,666738,2002,6817518
Malaysia,Pahang,3585238,2002,21121808
Malaysia,Perak,2091110,2002,4718963
Malaysia,Perlis,82349,2002,58343
Malaysia,Pulau Pinang,105622,2002,61336
Malaysia,Putrajaya,6173,2002,13642
Malaysia,Sabah,7372091,2002,29345748
Malaysia,Sarawak,12379545,2002,52419183
Malaysia,Selangor,782443,2002,3378792
Malaysia,Trengganu,1288895,2002,3805825
Malaysia,Johor,1911485,2003,5045020
Malaysia,Kedah,951787,2003,2069481
Malaysia,Kelantan,1513205,2003,3040321
Malaysia,Kuala Lumpur,27198,2003,22927
Malaysia,Labuan,9066,2003,7148
Malaysia,Melaka,165403,2003,439689
Malaysia,Negeri Sembilan,666738,2003,2415427
Malaysia,Pahang,3585238,2003,9584388
Malaysia,Perak,2091110,2003,2615259
Malaysia,Perlis,82349,2003,19280
Malaysia,Pulau Pinang,105622,2003,54152
Malaysia,Putrajaya,6173,2003,9217
Malaysia,Sabah,7372091,2003,18733443
Malaysia,Sarawak,12379545,2003,60203695
Malaysia,Selangor,782443,2003,1509357
Malaysia,Trengganu,1288895,2003,2068182
Malaysia,Johor,1911485,2004,15639807
Malaysia,Kedah,951787,2004,3310479
Malaysia,Kelantan,1513205,2004,6649602
Malaysia,Kuala Lumpur,27198,2004,75157
Malaysia,Labuan,9066,2004,5786
Malaysia,Melaka,165403,2004,485070
Malaysia,Negeri Sembilan,666738,2004,2996328
Malaysia,Pahang,3585238,2004,21889527
Malaysia,Perak,2091110,2004,3819849
Malaysia,Perlis,82349,2004,36824
Malaysia,Pulau Pinang,105622,2004,82698
Malaysia,Putrajaya,6173,2004,7440
Malaysia,Sabah,7372091,2004,43712671
Malaysia,Sarawak,12379545,2004,91244840
Malaysia,Selangor,782443,2004,3490271
Malaysia,Trengganu,1288895,2004,6278519
Malaysia,Johor,1911485,2005,18440835
Malaysia,Kedah,951787,2005,3698004
Malaysia,Kelantan,1513205,2005,6385643
Malaysia,Kuala Lumpur,27198,2005,36953
Malaysia,Labuan,9066,2005,13302
Malaysia,Melaka,165403,2005,1547516
Malaysia,Negeri Sembilan,666738,2005,4580737
Malaysia,Pahang,3585238,2005,31515413
Malaysia,Perak,2091110,2005,6203257
Malaysia,Perlis,82349,2005,75352
Malaysia,Pulau Pinang,105622,2005,112505
Malaysia,Putrajaya,6173,2005,3807
Malaysia,Sabah,7372091,2005,39521412
Malaysia,Sarawak,12379545,2005,103637432
Malaysia,Selangor,782443,2005,3621544
Malaysia,Trengganu,1288895,2005,5134323
Malaysia,Johor,1911485,2006,15209180
Malaysia,Kedah,951787,2006,4106015
Malaysia,Kelantan,1513205,2006,6363530
Malaysia,Kuala Lumpur,27198,2006,36568
Malaysia,Labuan,9066,2006,11292
Malaysia,Melaka,165403,2006,807212
Malaysia,Negeri Sembilan,666738,2006,3269610
Malaysia,Pahang,3585238,2006,23872638
Malaysia,Perak,2091110,2006,4212511
Malaysia,Perlis,82349,2006,30347
Malaysia,Pulau Pinang,105622,2006,95729
Malaysia,Putrajaya,6173,2006,1500
Malaysia,Sabah,7372091,2006,44465205
Malaysia,Sarawak,12379545,2006,97956150
Malaysia,Selangor,782443,2006,1770912
Malaysia,Trengganu,1288895,2006,4756703
Malaysia,Johor,1911485,2007,17115978
Malaysia,Kedah,951787,2007,3179279
Malaysia,Kelantan,1513205,2007,13960966
Malaysia,Kuala Lumpur,27198,2007,26549
Malaysia,Labuan,9066,2007,23850
Malaysia,Melaka,165403,2007,1396922
Malaysia,Negeri Sembilan,666738,2007,4845624
Malaysia,Pahang,3585238,2007,23869649
Malaysia,Perak,2091110,2007,6848048
Malaysia,Perlis,82349,2007,34508
Malaysia,Pulau Pinang,105622,2007,78606
Malaysia,Putrajaya,6173,2007,4369
Malaysia,Sabah,7372091,2007,35082789
Malaysia,Sarawak,12379545,2007,152903678
Malaysia,Selangor,782443,2007,3646279
Malaysia,Trengganu,1288895,2007,4993286
Malaysia,Johor,1911485,2008,8309024
Malaysia,Kedah,951787,2008,5351493
Malaysia,Kelantan,1513205,2008,7472625
Malaysia,Kuala Lumpur,27198,2008,27813
Malaysia,Labuan,9066,2008,20062
Malaysia,Melaka,165403,2008,910917
Malaysia,Negeri Sembilan,666738,2008,4506273
Malaysia,Pahang,3585238,2008,17733488
Malaysia,Perak,2091110,2008,5118860
Malaysia,Perlis,82349,2008,31794
Malaysia,Pulau Pinang,105622,2008,78580
Malaysia,Putrajaya,6173,2008,692
Malaysia,Sabah,7372091,2008,47199903
Malaysia,Sarawak,12379545,2008,140234290
Malaysia,Selangor,782443,2008,2715750
Malaysia,Trengganu,1288895,2008,6086549
Malaysia,Johor,1911485,2009,21384172
Malaysia,Kedah,951787,2009,4130121
Malaysia,Kelantan,1513205,2009,19492397
Malaysia,Kuala Lumpur,27198,2009,39754
Malaysia,Labuan,9066,2009,18570
Malaysia,Melaka,165403,2009,1455432
Malaysia,Negeri Sembilan,666738,2009,9115080
Malaysia,Pahang,3585238,2009,29796939
Malaysia,Perak,2091110,2009,9814619
Malaysia,Perlis,82349,2009,93921
Malaysia,Pulau Pinang,105622,2009,151630
Malaysia,Putrajaya,6173,2009,5555
